,utterance,classes,prompt,bigscience/T0pp
855,how can i transfer funds from my bank to my top up account?,"['transfer funds', 'top account', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer funds top account?! [help]
856,i want to top my account by using a bank transfer how would that work?,"['using transfer', 'bank transfer', 'work transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work transfer using transfer. i want to top my account by using a bank transfer how would that work?
857,how to i transfer my funds into my account?,"['transfer funds', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer funds transfer account?.....
858,how do i top up my card?,"['top card', 'top card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get a top up card from the kiosk at the entrance
859,how can i transfer money from an outside bank?,"['transfer money', 'outside bank', 'transfer bank']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money outside bank transfer bank..
860,how can i fund my top-up account using my bank account?,"['using account', 'bank account', 'using account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",using bank account to fund account..
861,what methods can i use to add money to my account?,"['add money', 'add account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",add money add account??????????
862,i would like to use the bank transfer feature but i can't find it can you please give me the details?,"['give details', 'transfer feature', 'give details']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer feature give details. permalink.
863,how can i perform a dual money transferring from one account to another?,"['perform transferring', 'money transferring', 'dual transferring', 'perform account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",perform transferring money removing account dual extending
864,can you explain how to transfer money into my  account for me?,"['transfer money', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money transfer account. png
865,i need to bank account transfer from another account into this one what is the easiest way that can be done and what information do i need?,"['account transfer', 'easiest way', 'need information']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need information easiest way account transfer. i
866,how do i transfer money to my account?,"['transfer money', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money transfer account? - askimmuneweb :
867,how do i send my account money through transfer?,"['send money', 'account money', 'send transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money to my account.. thanks
868,how do i do an international transfer?,"['do transfer', 'international transfer', 'do transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer. how do i do an international transfer.
869,are there ways to transfer money into my account?,"['transfer money', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money transfer account?. html
870,i want to transfer from accounts in order to top up what are the steps necessary,"['steps necessary', 'top steps']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer from accounts in order to top up what are the steps necessary
871,how does a transfer work?,['work transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work transfer. wikipedia.org.
872,i would like use the bank transfer but i don't understand the process can you please explain topping up?,"['understand process', 'bank transfer', 'topping process']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",bank transfer topping process understand process..
873,i want to use bank transfer for topping up my account how is it handled?,"['topping account', 'bank transfer', 'handled account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",bank transfer handled account topping account? i want to use bank
874,i checked my account today and it said i was out of money how do i transfer money into my account?,"['transfer money', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money transfer account.. i checked my account today and it said ill be out of money today
875,how can i transfer money to my account?,"['transfer money', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money transfer account.. i need this money!
876,is it possible to give a second card for this account to my daughter?,"['give card', 'second card', 'give daughter']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",give daughter second card. kodak
877,my daughter needs a card can i give her one of mine that's linked to my account?,"['give card', 'linked account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",linked account. give card linked to my account
878,my child needs a card how can i add them to the account i currently have?,"['add card', 'have account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",add card. my child needs a card how can i add them to the account?
879,my daughter needs a card how do i add her?,"['add card', 'add card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",add card. adam robinson music
880,can i top up by cheque?,['top '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay for something by cheque or card.
881,how do i top-up using cash?,"['using cash', 'using cash']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",using cash? top-up mobile phone account.
882,can i top up with a cheque?,['top cheque'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay cheque into a pay account.
883,is it possible to top up with cash? if so how do i do it?,"['do ', 'do cash']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up with cash.. options do do cash
884,can you help me find top up by cash deposit?,"['find top', 'cash deposit', 'find deposit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find top up by cash deposit..
885,is there an option to top up a with cheque?,"['top ', 'top cheque']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up account with cheque.. my favourite option because i always have a chequebook when traveling.
886,need to deposit a cheque into my account,"['deposit cheque', 'deposit account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",deposit cheque... into my account.
887,i'm looking for the cash deposit top up option but can't find it can you help me?,"['help ', 'cash deposit', 'top option', 'help option']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top option help cash deposit help option.
888,how do i top up my account with a cash payment?,"['top account', 'cash payment', 'top payment']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","top account top payment. a payment to the bank made using cash, in exchange for monetary benefits :"
889,i'd like to use cash to top up how do i find that option?,"['find option', 'find option']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find option... use cash to top up
890,where do i locate topping up with cash,['topping cash'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topping up card cash. phpmyadmin
891,how do i pay by check?,['pay check'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",check payment option at checkout. pay check on the phone
892,can i add to my account balance with a cheque?,"['account balance', 'add cheque']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",add cheque account balance? i am asking how do you add money to your account
893,what type of deposits do you accept into my account?,['accept account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",deposit into account accepted by merchant... what type of deposits do you accept into my account?
894,can i top up using a cheque?,"['using cheque', 'using cheque']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",using cheque is the main reason people buy reloadable prepaid phone cards.
895,can you top-up a card with a cheque?,"['topup card', 'topup cheque']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topup card top up cheque..
896,i need to top up cash how do i do it?,"['do cash', 'do cash']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay for something with cash.. i need to top up cash how do u do it
897,i'm looking for the option to top up by cheque,['top cheque'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","pay cheque, pay pal. i'm looking for the option to top up by cheque."
898,what locations can i top up with cash?,['top cash'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up cash on the go..
899,i want to top up using cash where can i do that?,"['do cash', 'do cash']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay cash in person to top up your account
900,is there a way to do top up with cash deposit,"['do top', 'cash deposit', 'do deposit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do top up with cash deposit.. i want to do cash in top uup and deposit money at my account.
901,where are the options to top up with a cheque on my account?,['top account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",options to top up with cheque on my account
902,can i use cash to top up my account?,"['top account', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top account... cash in hand. i want to know if it's possible.
903,how can i top up with cash?,['top cash'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay cash to top up my phone..
904,will you accept a cheque to top up my account?,"['top account', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up account. no check or cash
905,how can i top up with this cheque i got?,['got cheque'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",got cheque. i need to know how to cash it in
906,what methods can i use to top up my account?,"['top account', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",methods to top up your gbp account
907,is cash good to top up with?,"['cash good', 'top cash']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",cash good top up card. with.
908,how come i can't find anywhere to load using cash,"['using cash', 'using cash']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use cash to buy something from someone in person
909,what can i pay with? does cash work?,"['does work', 'cash work', 'does work']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","yes cash works. i do not have the correct card, but if you take cash you will have no problems"
910,how do i deposit cash into my account?,"['deposit cash', 'deposit account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",deposit cash deposit account?.png
911,why can't i top up with a cheque?,['top cheque'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up with a cheque..
912,can i send a cheque to do my top ups?,"['do ups', 'top ups', 'do ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay by cheque - wikipedia.
913,can i top up my account with a cheque?,"['top account', 'top cheque']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can i top up my account with a cheque
914,i want to do a cash top-up,"['do topup', 'cash topup', 'do topup']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",cash topup. i want to do a cash topping - p2pmoney s.a.
915,i have a cheque here can i use it to top off my account?,"['top account', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fill an account with cash or cheques.
916,i need a physical card,"['need card', 'physical card', 'need card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need card.. the only option to get it
917,what are the fees for a physical card?,"['physical card', ' card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",physical card - fees en espa<unk>ol
918,how do i get an actual card?,"['get card', 'actual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",actual card get card?...
919,can i get a real card?,"['get card', 'real card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card real card. no y?
920,why is my disposable virtual card being denied?,"['virtual card', 'denied card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card denied card. txt
921,my disposable virtual card doesn't seem to work,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work my disposable virtual card doesn't seem to
922,my disposable virtual card is broken,"['virtual card', ' card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card card. my disposable virtual pc is broken
923,my non-physical card will not work,"['nonphysical card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",works for me card. yes my physical card will not work
924,why did the disposable virtual card which i used to pay a gym subscription get denied?,"['pay subscription', 'gym subscription', 'virtual card', 'denied subscription']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",subscription denied virtual card pay subscription gym subscription.
925,why is my virtual card is being declined?,"['virtual card', 'declined card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",declined virtual card reason. permalink <unk> n/a – why is my virtual
926,are there restrictions for my disposable card since it does not seem to be working?,"['disposable card', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working card disposable card?..<unk>
927,i cannot get my virtual card to work,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work virtual card. card not work i cannot get my virtual
928,i was at the store earlier and my virtual card didn't work what's the solution for this problem?,"['virtual card', 'work problem']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card work problem. aap
929,my disposable virtual card will not work,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card not work card work. permalink
930,i cannot use my disposable virtual card,"['use card', 'virtual card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card virtual card. not working i can't load money
931,can i make multiple online transactions with my virtual card?,"['make transactions', 'virtual card', 'make card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",make transactions. [ ] make card....
932,why was my virtual card declined when attempting to setup automatic billing?,"['setup billing', 'automatic billing', 'setup billing']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",setup billing automatic billing. i am having issues with setting up my auto pay on my paypal virtual card :(
933,why doesn't my disposable virtual card work?,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card work card. discardable virtual
934,why can't i use my virtual card for subscription services?,"['use card', 'subscription services', 'virtual card', 'use services']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",subscription services virtual card use services..
935,why isn't my virtual card working?,"['virtual card', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card not working. is it just me
936,i cannot make transactions with my virtual card,"['make transactions', 'virtual card', 'make card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",make transactions. virtual card i cannot make payments with my virtual nexus card.
937,for some reason the virtual card won't work for me,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card work card.. i have a lot of them.
938,my disposable virtual card has been rejected by the merchant earlier today what should i do?,"['virtual card', 'do today']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do virtual card. permalink ; xml : label
939,how can i fix a problem where my virtual card is rejected?,"['fix problem', 'virtual card', 'rejected card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fix problem rejected card.. i have a nexpay account.....
940,my virtual card isn't working what do i do?,"['virtual card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do card.. - idioms by the free dictionary
941,what do i do if my virtual card won't work,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card work card.. virtualcard
942,is there a trick to get the disposable virtual card to work?,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card work card? virtualcard.
943,why can't i get my virtual card to work?,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card work card. mughal empire
944,my card is just not working at this time,['working time'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working time... my card is just not working at this time
945,my disposable card seems not to be working am i doing something wrong?,"['doing ', 'something wrong', 'doing card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",something wrong doing card doing? <unk>
946,my payments from my virtual card keep getting rejected,"['virtual card', 'rejected card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card rejected card. no option chosen
947,my disposable virtual card is not working when i try to use it at a point of sale transaction what do i do now?,"['use ', 'virtual card', 'do transaction']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card use do transaction. permalink
948,my transaction was just declined when i was using my disposable virtual card what can i do?,"['using card', 'virtual card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",purchase with virtual card from website virtual credit card
949,my disposable virtual card is not working,"['virtual card', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",disposable virtual card is not working.?
950,how do i get my disposable virtual card to work?,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work card. [substeps] A disposable virtual card (or v-card) is a type of virtual debit card issued by payment service providers such as paypal. The card is typically used for online payments via web services and can also be used like e-gift cards with retailers.
951,how come my disposable virtual card used to pay for a gym subscription got rejected?,"['gym subscription', 'virtual card', 'rejected subscription']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card rejected subscription gym subscription..
952,payments from my disposable virtual card don't work,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work card. virtual card work!
953,my disposable virtual card was rejected by the merchant please help?,"['virtual card', 'help merchant']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card help merchant..thanks
954,my virtual card won't work,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card won't work card.
955,tell me why my virtual disposable card won't work,"['tell ', 'disposable card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell disposable card work card.. <unk>
956,how do you determine your exchange rates because one of yours was off when i got cash,"['got cash', 'exchange rates', 'got cash']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates got cash?. a lot
957,i used the atm machine to get money out for holiday shopping and saw the outrageous charges why is that? i would not have used the atm if i had known!,"['used charges', 'holiday shopping', 'outrageous charges', 'known charges']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",outrageous charges used charges holiday shopping known charges?
958,the cash withdrawal exchange rate is not correct,"['exchange rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rate rate based on the cash withdrawal is not correct.
959,is there a local atm that will provide british pounds i have no money for my homeward journey and do not feel comfortable waiting until  i arrive in britain will a withdrawal involve extra charges?,"['involve charges', 'extra charges', 'involve charges']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",involve charges extra charges.. i have no money for my homeward journey and do not feel comfortable waiting until britain
960,can i get a description of how to use a disposable virtual card,"['use card', 'virtual card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card virtual card?.
961,can i create a disposable virtual card?,"['create card', 'virtual card', 'create card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card create card? :: adb shell command not working
962,what can you tell me about getting a virtual disposable card?,"['getting card', 'disposable card', 'getting card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",getting card.. thanks! :)
963,i would like to order a disposable virtual card how can i do this?,"['do card', 'virtual card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card do card. permalink - i would like to e-mail a picture of my receipt
964,how do vr cards work,"['vr cards', 'work cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",how do vr cards work?
965,what is a disposable virtual card?,"['virtual card', ' card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card card..?... :)
966,i would like a temporary virtual card,"['like card', 'virtual card', 'like card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i would like a temporary virtual card
967,how do the disposable cards work?,"['disposable cards', 'work cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",disposable cards work cards..?
968,how do i use a disposable virtual card?,"['use card', 'virtual card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","use card virtual card. if your account has a virtual gift card, you must first buy ten dollar gift cards before you can make the purchase."
969,where's the best place to get a disposable virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card get card? I like the first answer the best.
970,can you explain the disposable cards to me?,"['explain cards', 'disposable cards', 'explain cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",disposable cards explain cards..........................................
971,is there anyway i can get a disposable virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card? i need a card
972,i just purchased a disposable virtual card am i able to use it for online purchases immediately?,"['use card', 'online purchases', 'use purchases']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card use purchases online purchases. [title] Understand the card you have to use it.
973,how secure is a disposable virtual card,"['virtual card', ' card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card card? : secure?
974,what do i do to get a disposable virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card. a good and secure alternative to the physical card.
975,i want to get a disposable virtual card,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card. virtual card use card virtual
976,can you explain disposable cards?,"['explain cards', 'disposable cards', 'explain cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",disposable cards. wikipedia.org.
977,how do i get a virtual card for one time use,"['get card', 'time use', 'virtual card', 'get use']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",time use virtual card get use get card.
978,may i get a disposable virtual card as well?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card get card?.png
979,can i get a single use virtual card,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card get card i want one.
980,i would like to create a disposable virtual card how do i go about doing that?,"['doing card', 'virtual card', 'doing card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",create a virtual card doing card.
981,i have a disposable virtual card here so would you tell me what to do with it?,"['tell card', 'virtual card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell card virtual card do card..
982,how does a virtual card work,"['virtual card', 'work card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",how does a virtual card work? card.
983,what is the process of obtaining a disposable virtual card,"['obtaining card', 'virtual card', 'obtaining card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",getting a virtual credit card for microsoft store
984,what does a disposable virtual card do?,"['virtual card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",dispose of the card quickly and easily.
985,when can i order a disposable virtual card?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",place order for virtual card. virtualcard
986,is it possible to also get a disposable virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card get card? I am looking to get a virtual debit card to use for online shopping.
987,how do i obtain a disposable virtual card?,"['obtain card', 'virtual card', 'obtain card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",obtain virtual card. java.lang.IllegalArgumentException: Cannot obtain a virtual token if there is no valid token in the system.
988,how would you use a disposable card?,"['use card', 'disposable card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card disposable card. permalink.
989,i need a disposable virtual card how do i get one?,"['get one', 'virtual card', 'get one']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get one virtual card? thanks :)
990,how do disposable cards work?,"['disposable cards', 'work cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",disposable cards work cards. how do disposable cars work?
991,is there a disposable virtual card i can order?,"['virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",order card. virtual card download. i can buy a virtual gift card online on this site
992,where can i get a disposable virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card get card? : <unk>
993,will i be able to get a disposable virtual card as well?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","i get card.. btw, the gdp will be on a virtual card for now"
994,hello! i need to order a disposable virtual card where can i do that at?,"['do card', 'virtual card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card do card entropy order
995,where do i request a disposable virtual card?,"['request card', 'virtual card', 'request card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",request card virtual card..?.
996,i would like to exchange currencies but is there an extra charge to do so?,"['exchange currencies', 'extra charge', 'do charge']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",extra charge do charge exchange currencies? o
997,does it cost anything for exchanges?,"['cost ', 'cost exchanges']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Options cost cost exchanges. yes i think
998,can i exchange money from abroad without additional costs?,"['exchange money', 'additional costs', 'exchange costs']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can i exchange money without additional costs?
999,does it cost to exchange currencies?,"['exchange currencies', 'exchange currencies']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",cost of a currency exchange is different in different countries
1000,is there a fee for using a european bank card to top up?,"['using card', 'bank card', 'european card', 'top card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",bank card.. is there a fee for using
1001,are there any fees for adding money with an international card?,"['adding money', 'international card', 'adding card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fee for adding money with an international card.
1002,i was charged when i used a us issued card why and what cards are free to use to add money,"['add money', 'issued card', 'add money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charged when i used a us issued card why
1003,any hidden fees associated with the international card if money is added?,"['international card', 'added money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",international card added money?.
1004,will i get charged for topping off my card?,"['topping card', 'topping card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charging card for topping off it or not topping it off
1005,are there charges for topping up us cards?,"['topping cards', 'us cards', 'topping cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",we top up our us cards often and never pay extra charges.
1006,are there fees for top ups?,"['top ups', ' ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",is top ups a thing if you do not use it all up before you use up your credit?
1007,what are the charges for us cards with top up,"['us cards', ' top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",us cards top up rates. charges for us top
1008,is there an additional charge for topping up using a european card?,"['using card', 'european card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",yes there is a charge for topping up with european cards
1009,in exchange for top ups will you take fees?,"['take fees', 'top ups', 'take fees']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",take fees. in exchange for top ups will you take cash?
1010,i just topped off my card will i be charged for it?,"['topped card', 'charged card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topped card. <unk> i just capped my card will not to be charged if we use it for shopping
1011,how much does it cost to top up by card?,['top card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top card.. how much does it cost to top up by card?
1012,are there any fees if i use a european bank card for a top up?,"['use card', 'bank card', 'european card', 'use top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card european card use top bank card.
1013,what are the top-up fees?,"['topup fees', ' fees']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fees. what are the top-up fees
1014,how much is the charge to top up my card?,"['top card', 'top card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",the charge for topping up a card is typically less than the actual amount of money required
1015,how much can i expect to pay to top up a us card?,"['top card', 'us card', 'top card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",how much can i expect to pay to top up a us card?
1016,what fee is included if i top up by card?,['top card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card based payment type if fee is included
1017,if i use a european bank card for top up do i get charged?,"['use card', 'bank card', 'european card', 'charged top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up using a bank card.
1018,will there be any extra fees for european bank card for top up?,"['bank card', 'european card', ' top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up card for european bank. bank card...
